# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Weight field  : p
# Time          	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
10.3            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53524120e+00
10.35           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53524249e+00
10.4            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53524249e+00
10.45           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53524745e+00
10.5            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53524745e+00
10.55           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53524745e+00
10.6            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53524821e+00
10.65           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53524821e+00
10.7            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525130e+00
10.75           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525148e+00
10.8            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525148e+00
10.85           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525148e+00
10.9            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525341e+00
10.95           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525367e+00
11              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525367e+00
11.05           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525367e+00
11.1            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525367e+00
11.15           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525648e+00
11.2            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525605e+00
11.25           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525605e+00
11.3            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525605e+00
11.35           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525605e+00
11.4            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525607e+00
11.45           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525607e+00
11.5            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525676e+00
11.55           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525717e+00
11.6            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525717e+00
11.65           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525717e+00
11.7            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525717e+00
11.75           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525717e+00
11.8            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525717e+00
11.85           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525717e+00
