# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Weight field  : p
# Time          	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
12.95           	-9.29935271e-03	(9.29935271e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13              	-9.31663290e-03	(9.31663290e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.05           	-9.33382922e-03	(9.33382922e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.1            	-9.35094209e-03	(9.35094209e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.15           	-9.36797194e-03	(9.36797194e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.2            	-9.38491917e-03	(9.38491917e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.25           	-9.40178421e-03	(9.40178421e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.3            	-9.41856747e-03	(9.41856747e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.35           	-9.43526935e-03	(9.43526935e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.4            	-9.45189026e-03	(9.45189026e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.45           	-9.46843062e-03	(9.46843062e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.5            	-9.48489082e-03	(9.48489082e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.55           	-9.50127127e-03	(9.50127127e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.6            	-9.51757236e-03	(9.51757236e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.65           	-9.53379450e-03	(9.53379450e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.7            	-9.54993808e-03	(9.54993808e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.75           	-9.56600350e-03	(9.56600350e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.8            	-9.58199114e-03	(9.58199114e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.85           	-9.59790139e-03	(9.59790139e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.9            	-9.61373465e-03	(9.61373465e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
13.95           	-9.62949129e-03	(9.62949129e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14              	-9.64517171e-03	(9.64517171e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.05           	-9.66077628e-03	(9.66077628e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.1            	-9.67630538e-03	(9.67630538e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.15           	-9.69175940e-03	(9.69175940e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.2            	-9.70713869e-03	(9.70713869e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.25           	-9.72244365e-03	(9.72244365e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.3            	-9.73767464e-03	(9.73767464e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.35           	-9.75283203e-03	(9.75283203e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.4            	-9.76791619e-03	(9.76791619e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.45           	-9.78292749e-03	(9.78292749e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.5            	-9.79786628e-03	(9.79786628e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.55           	-9.81273293e-03	(9.81273293e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.6            	-9.82752781e-03	(9.82752781e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.65           	-9.84225127e-03	(9.84225127e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.7            	-9.85690366e-03	(9.85690366e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.75           	-9.87148534e-03	(9.87148534e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.8            	-9.88599667e-03	(9.88599667e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.85           	-9.90043799e-03	(9.90043799e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.9            	-9.91480965e-03	(9.91480965e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
14.95           	-9.92911201e-03	(9.92911201e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15              	-9.94334540e-03	(9.94334540e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.05           	-9.95751018e-03	(9.95751018e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.1            	-9.97160667e-03	(9.97160667e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.15           	-9.98563523e-03	(9.98563523e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.2            	-9.99959620e-03	(9.99959620e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.25           	-1.00134899e-02	(1.00134899e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.3            	-1.00273167e-02	(1.00273167e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.35           	-1.00410769e-02	(1.00410769e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.4            	-1.00547708e-02	(1.00547708e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.45           	-1.00683988e-02	(1.00683988e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.5            	-1.00819611e-02	(1.00819611e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.55           	-1.00954582e-02	(1.00954582e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.6            	-1.01088904e-02	(1.01088904e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.65           	-1.01222579e-02	(1.01222579e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.7            	-1.01355611e-02	(1.01355611e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.75           	-1.01488004e-02	(1.01488004e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.8            	-1.01619759e-02	(1.01619759e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.85           	-1.01750881e-02	(1.01750881e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.9            	-1.01881373e-02	(1.01881373e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
15.95           	-1.02011237e-02	(1.02011237e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16              	-1.02140477e-02	(1.02140477e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.05           	-1.02269096e-02	(1.02269096e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.1            	-1.02397097e-02	(1.02397097e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.15           	-1.02524484e-02	(1.02524484e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.2            	-1.02651258e-02	(1.02651258e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.25           	-1.02777424e-02	(1.02777424e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.3            	-1.02902984e-02	(1.02902984e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.35           	-1.03027941e-02	(1.03027941e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.4            	-1.03152298e-02	(1.03152298e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.45           	-1.03276058e-02	(1.03276058e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.5            	-1.03399225e-02	(1.03399225e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.55           	-1.03521800e-02	(1.03521800e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.6            	-1.03643788e-02	(1.03643788e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.65           	-1.03765190e-02	(1.03765190e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.7            	-1.03886010e-02	(1.03886010e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.75           	-1.04006251e-02	(1.04006251e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.8            	-1.04125916e-02	(1.04125916e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
16.85           	-1.04245007e-02	(1.04245007e+00 0.00000000e+00 0.00000000e+00)	1.52300000e+00
